May 2016,Crypto,Approx. 2 BTC,Mischa
May 2016,Crypto,$400 in iTunes credit,Alpha Locker
May 2016,Crypto,Approx. $400 in BTC,MM Locker
May 2016,Crypto,5 BTC,Bucbi
May 2016,Crypto,0.42 BTC,Enigma
May 2016,Crypto,4 BTC,Mobef/Yakes
May 2016,Crypto,Unknown,Shujin
May 2016,Crypto,$150 in BTC,CryptoHitman
April 2016,Crypto,0.52985 BTC,Nemucod 7-Zip
April 2016,Crypto,1 BTC,KimcilWare
April 2016,Crypto,0.24 BTC,Rokku
April 2016,Crypto,Unknown,Zeta/CryptoMix
April 2016,Crypto,Unknown,Kovter
April 2016,Crypto,$500 in BTC,CryptXXX
April 2016,Crypto,0.5 to 1.5 BTC,Yougothacked
April 2016,Crypto,3 BTC,Sanction/Rush
April 2016,Crypto,0.3 BTC,CryptoHost/Manamecrypt/ROI Locker
April 2016,Crypto,0.4 BTC,Jigsaw
April 2016,Crypto,0.75 BTC,AutoLocky
April 2016,Crypto,0.2 BTC,TrueCrypter
April 2016,Locker,Unknown,BrLock
April 2016,Locker,$4,Rasith
March 2016,Locker,"10,000 yen",AndroidOS_Locker
March 2016,Crypto,1 BTC,KeRanger
March 2016,Crypto,0.4 to 0.8 BTC,PHP CTB-Locker
March 2016,Crypto,1.24 to 2.48 BTC,Cerber
March 2016,Crypto,1.4 to 3.9 BTC,Maktub
March 2016,Crypto,0.99 BTC,Petya
March 2016,Crypto,1.5 BTC,Samas/SamSam
March 2016,Crypto,1 BTC,Coverton
March 2016,Crypto,$300,Cryptohasyou
March 2016,Locker,$500,Homeland Security Screen Locker
February 2016,Crypto,0.5 to 1.5 BTC,HydraCrypt/UmbreCrypt
February 2016,Crypto,0.5 to 1 BTC,Locky
February 2016,Crypto,0.8 BTC,PadCrypt
February 2016,Crypto,â‚¬300,Job Crypter
February 2016,Crypto,1.3 BTC,RackCrypt/MVP Locker
January 2016,Crypto,Unknown,CryptoJoker
January 2016,Crypto,13 BTC,7ev3n/HONE$T
January 2016,Crypto,1.5 to 15 BTC,DMA-Locker
January 2016,Crypto,Unknown,LeChiffre
January 2016,Crypto,0.1 BTC,Ransom32
January 2016,Crypto,0.1 to 1 BTC,NanoLocker
December 2015,Crypto,0.5 BTC,Radamant
December 2015,Crypto,0.3 to 0.7 BTC,Hi Buddy!
November 2015,Crypto,none,Mabouia
November 2015,Crypto,1.56 BTC,CryptoWall 4.0
November 2015,Crypto,$500,CryptIn nite/DecryptorMax
November 2015,Crypto,Unknown,Linux.Encoder.1
November 2015,Crypto,1 BTC,Linux.Encoder.2
October 2015,Locker,Unknown,RansomFake
October 2015,Crypto,0.93 to 2.45 BTC,Chimera
September 2015,Crypto,Unknown,Cryakl/Vipasana
August 2015,Crypto,0.525 BTC,ORX-Locker
August 2015,Crypto,Unknown,Safe les32
August 2015,Crypto,Unknown,Hidden Tear/EDA2/Magic/Surprise
August 2015,Crypto,1 BTC,CryptoApp
August 2015,Locker,Unknown,Department of Justice (DOJ) new variant
July 2015,Crypto,0.174 BTC,Encryptor RaaS
June 2015,Crypto,1 BTC,Troldesh/Shade
May 2015,Crypto,$450 to $1000,Breaking Bad/El-Polocker
May 2015,Crypto,1 to 2 BTC,Pollcrypto
May 2015,Crypto,Random,Tox
May 2015,Crypto,0.1 BTC,Locker
April 2015,Crypto,0.5 BTC,PClock2
April 2015,Crypto,Unknown,Kriptovor
April 2015,Crypto,1.2 BTC,Threat Finder
March 2015,Crypto,1 BTC,CryptoFortress
March 2015,Crypto,Unknown,Pacman
March 2015,Crypto,Unknown,BandarChor
March 2015,Crypto,Unknown,VaultCrypt/XRTN
February 2015,Crypto,2 BTC,TeslaCrypt
January 2015,Crypto,Unknown,Ransomweb
January 2015,Crypto,$100 in BTC,CryptoTorLocker2015
January 2015,Crypto,1 BTC,Pclock