Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",24.47,29.84,23.59,23.84,"1,697,590","31,586,100"
"Feb 19, 2018",20.37,27.24,20.28,24.42,"1,940,870","26,292,900"
"Feb 18, 2018",22.69,23.78,20.43,20.43,"145,246","29,298,400"
"Feb 17, 2018",21.24,23.32,20.99,23.25,"212,041","27,463,300"
"Feb 16, 2018",22.06,22.68,20.55,21.25,"106,464","28,525,200"
"Feb 15, 2018",22.04,23.17,21.13,22.16,"186,324","28,493,800"
"Feb 14, 2018",20.37,22.31,19.81,22.10,"382,246","26,338,300"
"Feb 13, 2018",21.73,22.22,20.18,20.18,"284,117","28,094,400"
"Feb 12, 2018",18.43,24.17,17.81,21.98,"1,239,570","23,825,800"
"Feb 11, 2018",19.85,20.74,16.24,18.31,"596,317","25,660,900"
"Feb 10, 2018",16.17,21.70,15.41,19.39,"1,233,990","20,936,000"
"Feb 09, 2018",15.57,16.65,14.43,16.16,"243,876","20,163,900"
"Feb 08, 2018",15.49,16.81,15.39,15.53,"259,982","20,063,700"
"Feb 07, 2018",15.02,18.17,14.15,15.84,"256,991","19,444,500"
"Feb 06, 2018",13.37,15.49,11.71,15.15,"450,845","17,313,100"
"Feb 05, 2018",15.65,15.95,12.80,13.35,"198,028","20,267,000"
"Feb 04, 2018",20.01,20.01,14.92,15.80,"195,834","25,913,800"
"Feb 03, 2018",17.98,21.00,16.89,19.95,"541,258","23,299,200"
"Feb 02, 2018",18.96,19.13,13.82,17.77,"616,822","24,571,300"
"Feb 01, 2018",21.65,23.33,17.69,19.01,"462,444","28,049,100"
"Jan 31, 2018",22.45,22.86,21.17,21.60,"331,054","29,089,000"
"Jan 30, 2018",26.89,29.73,21.97,22.64,"1,308,300","34,838,200"
"Jan 29, 2018",29.62,29.72,26.55,26.88,"244,029","38,386,000"
"Jan 28, 2018",28.89,30.40,27.57,29.65,"653,506","37,431,100"
"Jan 27, 2018",26.56,32.78,25.18,28.68,"2,537,640","34,417,900"
"Jan 26, 2018",27.79,28.39,25.32,26.59,"225,736","36,013,400"
"Jan 25, 2018",28.87,29.91,25.87,27.87,"390,559","37,406,300"
"Jan 24, 2018",27.11,30.32,26.12,28.27,"537,748","35,126,400"
"Jan 23, 2018",27.43,28.75,24.66,27.12,"341,714","35,551,000"
"Jan 22, 2018",27.34,30.37,25.50,27.40,"729,378","35,425,300"
"Jan 21, 2018",34.62,38.42,26.66,27.54,"2,894,980","44,860,700"
"Jan 20, 2018",33.88,36.08,32.67,34.45,"849,290","43,914,600"
"Jan 19, 2018",32.79,35.52,29.57,33.52,"1,317,430","42,495,100"
"Jan 18, 2018",28.88,35.51,25.60,32.91,"1,528,400","37,435,400"
"Jan 17, 2018",28.75,30.11,20.94,28.58,"751,546","37,264,000"
"Jan 16, 2018",39.08,39.08,22.02,28.97,"1,565,370","50,652,900"
"Jan 15, 2018",45.46,52.25,39.06,39.06,"3,260,030","58,921,900"
"Jan 14, 2018",53.12,53.12,43.16,46.15,"1,069,050","68,852,000"
"Jan 13, 2018",42.46,53.19,41.71,52.16,"1,651,270","55,032,100"
"Jan 12, 2018",42.14,45.89,39.06,44.02,"1,037,880","54,626,300"
"Jan 11, 2018",48.55,49.64,37.92,41.80,"1,909,610","62,930,100"
"Jan 10, 2018",47.04,56.37,43.35,49.00,"6,762,780","60,977,000"
"Jan 09, 2018",47.51,49.85,43.21,45.17,"2,434,220","61,581,600"
"Jan 08, 2018",40.86,59.53,38.48,48.65,"13,689,600","52,961,300"
"Jan 07, 2018",32.33,41.86,31.50,41.86,"3,964,570","41,899,500"
"Jan 06, 2018",31.69,33.53,29.52,32.35,"1,994,520","41,084,800"
"Jan 05, 2018",36.08,37.62,30.56,31.55,"2,973,030","46,783,100"
"Jan 04, 2018",38.19,38.82,35.32,37.48,"1,969,820","49,512,100"
"Jan 03, 2018",37.72,39.74,34.33,37.99,"1,963,410","48,902,300"
"Jan 02, 2018",40.96,44.06,34.64,37.62,"4,444,740","53,113,700"
"Jan 01, 2018",33.81,42.49,31.47,39.87,"3,185,660","43,841,700"
"Dec 31, 2017",27.98,35.06,26.98,32.97,"1,772,510","36,283,600"
"Dec 30, 2017",33.08,33.08,25.42,28.77,"980,391","42,897,600"
"Dec 29, 2017",36.74,36.99,31.45,33.16,"2,701,510","47,638,900"
"Dec 28, 2017",34.34,36.17,28.62,34.20,"2,654,990","44,524,700"
"Dec 27, 2017",32.13,39.17,31.58,34.53,"4,108,750","41,663,800"
"Dec 26, 2017",34.28,36.04,28.50,32.02,"3,065,750","44,451,500"
"Dec 25, 2017",27.77,41.01,27.77,34.46,"11,398,800","36,009,700"
"Dec 24, 2017",25.59,28.42,22.61,27.53,"1,676,120","33,177,300"
"Dec 23, 2017",23.31,28.68,21.96,26.01,"1,496,370","30,223,600"
"Dec 22, 2017",30.02,30.82,17.18,23.06,"1,415,950","38,927,400"
"Dec 21, 2017",27.35,36.12,26.60,29.76,"4,075,520","35,462,600"
"Dec 20, 2017",27.47,29.00,23.00,27.22,"1,732,090","35,621,800"
"Dec 19, 2017",28.94,33.23,25.92,27.53,"3,686,380","37,522,100"
"Dec 18, 2017",26.19,31.58,25.30,28.88,"2,334,750","33,959,900"
"Dec 17, 2017",23.97,27.38,23.78,26.06,"1,560,870","31,079,100"
"Dec 16, 2017",23.79,25.10,22.52,23.96,"659,992","30,852,500"
"Dec 15, 2017",22.78,24.07,20.94,23.26,"792,173","29,541,800"
"Dec 14, 2017",23.21,25.11,21.88,22.72,"1,160,180","30,100,200"
"Dec 13, 2017",23.79,24.14,21.63,23.06,"767,783","30,847,100"
"Dec 12, 2017",23.06,24.54,21.50,23.77,"875,810","29,904,200"
"Dec 11, 2017",22.38,25.30,21.94,23.09,"446,697","29,020,900"
"Dec 10, 2017",22.84,24.12,20.85,22.53,"566,956","29,620,600"
"Dec 09, 2017",20.55,27.71,20.32,23.60,"1,498,680","26,655,100"
"Dec 08, 2017",21.11,21.88,17.72,20.91,"631,112","27,378,500"
"Dec 07, 2017",21.07,26.00,19.26,21.06,"2,525,910","27,317,200"
"Dec 06, 2017",25.75,26.14,19.98,21.04,"1,638,700","33,385,700"
"Dec 05, 2017",28.12,30.60,25.37,25.78,"1,661,810","36,473,800"
"Dec 04, 2017",26.08,30.24,24.02,28.07,"1,829,210","33,832,200"
"Dec 03, 2017",28.08,28.12,23.98,26.44,"1,014,340","36,427,600"
"Dec 02, 2017",31.14,31.14,25.49,28.06,"2,238,660","40,394,400"
"Dec 01, 2017",28.98,36.66,28.19,31.17,"5,357,520","37,590,700"
"Nov 30, 2017",18.58,35.35,18.29,28.74,"12,740,600","24,102,300"
"Nov 29, 2017",15.06,43.82,14.81,18.58,"15,692,200","19,532,600"
"Nov 28, 2017",15.74,16.45,14.19,15.27,"268,716","20,425,900"
"Nov 27, 2017",15.87,17.31,14.96,15.70,"230,823","19,800,900"
"Nov 26, 2017",15.02,17.29,14.26,15.87,"765,795","18,744,000"
"Nov 25, 2017",13.22,19.62,12.55,15.03,"2,402,960","16,487,800"
"Nov 24, 2017",12.89,14.70,11.69,13.24,"463,045","16,085,600"
"Nov 23, 2017",12.66,13.45,12.27,12.92,"142,849","15,800,400"
"Nov 22, 2017",11.75,12.87,11.49,12.67,"88,340","14,664,700"
"Nov 21, 2017",11.34,12.28,11.34,11.73,"101,439","14,159,400"
"Nov 20, 2017",11.69,11.96,10.80,11.34,"95,402","14,590,200"
"Nov 19, 2017",10.98,11.92,10.78,11.69,"76,904","13,708,600"
"Nov 18, 2017",10.82,11.79,10.28,10.84,"82,896","13,516,000"
"Nov 17, 2017",11.28,12.61,10.46,10.86,"75,965","14,090,200"
"Nov 16, 2017",12.20,12.20,10.98,11.32,"77,997","15,226,700"
"Nov 15, 2017",11.17,12.34,11.17,12.14,"54,061","13,947,200"
"Nov 14, 2017",10.98,12.58,10.52,11.44,"230,431","13,705,900"
"Nov 13, 2017",9.29,11.99,9.11,10.96,"205,472","11,602,400"
"Nov 12, 2017",11.04,11.04,8.44,9.28,"173,095","13,783,900"
"Nov 11, 2017",10.54,11.35,10.05,11.05,"80,678","13,155,200"
"Nov 10, 2017",11.99,12.55,10.34,10.57,"112,071","14,967,400"
"Nov 09, 2017",11.24,12.62,11.04,11.95,"141,569","14,035,800"
"Nov 08, 2017",10.57,11.72,10.25,11.43,"139,662","13,197,700"
"Nov 07, 2017",10.77,11.27,10.17,10.60,"121,944","13,444,500"
"Nov 06, 2017",11.26,11.53,10.57,10.78,"57,204","14,062,200"
"Nov 05, 2017",11.45,12.89,10.74,10.95,"185,214","14,298,300"
"Nov 04, 2017",12.45,13.36,10.84,11.47,"334,820","15,548,300"
"Nov 03, 2017",9.15,13.75,8.97,12.48,"482,650","11,423,500"
"Nov 02, 2017",10.28,10.42,8.62,9.76,"205,052","12,832,100"
"Nov 01, 2017",11.64,12.36,9.82,10.44,"230,197","14,534,400"
"Oct 31, 2017",12.87,13.07,11.59,11.66,"163,423","16,067,000"
"Oct 30, 2017",11.55,13.60,11.52,12.91,"178,535","14,416,700"
"Oct 29, 2017",12.14,13.77,11.40,11.46,"259,423","15,160,800"
"Oct 28, 2017",12.19,12.75,11.01,12.25,"148,762","15,218,000"
"Oct 27, 2017",12.07,12.55,11.04,12.16,"139,761","15,071,400"
"Oct 26, 2017",12.53,12.53,11.53,12.07,"65,175","15,647,800"
"Oct 25, 2017",13.13,13.15,11.19,12.60,"77,863","16,393,000"
"Oct 24, 2017",11.72,14.03,10.96,13.12,"118,312","14,637,400"
"Oct 23, 2017",11.98,13.44,11.06,11.75,"115,467","14,957,400"
"Oct 22, 2017",12.64,13.16,11.79,12.00,"50,124","15,788,900"
"Oct 21, 2017",14.11,15.22,12.06,12.74,"129,563","17,616,500"
"Oct 20, 2017",14.70,17.58,13.79,14.14,"434,935","18,349,500"
"Oct 19, 2017",14.30,15.18,12.56,14.46,"209,523","17,851,900"
"Oct 18, 2017",13.92,15.84,12.48,14.47,"356,003","17,384,800"
"Oct 17, 2017",12.63,16.77,11.72,13.72,"480,549","15,775,200"
"Oct 16, 2017",10.89,14.39,10.47,12.17,"332,447","13,599,700"
"Oct 15, 2017",11.29,11.76,10.60,10.89,"64,751","14,102,400"
"Oct 14, 2017",11.82,12.32,10.41,11.37,"228,223","14,754,900"
"Oct 13, 2017",12.12,14.52,10.95,11.81,"518,327","15,127,600"
"Oct 12, 2017",12.12,16.12,11.27,12.10,"945,572","15,128,000"
"Oct 11, 2017",11.48,13.80,10.95,12.36,"205,337","14,343,600"
"Oct 10, 2017",11.55,11.92,10.60,11.48,"112,363","14,430,000"
"Oct 09, 2017",12.11,13.82,10.88,11.55,"184,017","15,121,100"
"Oct 08, 2017",14.65,15.11,11.99,12.10,"256,490","18,293,100"
"Oct 07, 2017",14.65,14.96,14.08,14.87,"145,223","18,295,100"
"Oct 06, 2017",14.22,15.36,14.16,14.64,"91,720","17,754,300"
"Oct 05, 2017",14.12,15.42,13.32,14.22,"220,070","17,635,900"
"Oct 04, 2017",13.84,15.36,13.41,14.11,"240,893","17,295,800"
"Oct 03, 2017",14.95,15.10,13.39,13.81,"149,112","18,683,000"
"Oct 02, 2017",16.36,16.92,13.96,14.79,"467,244","20,440,100"
"Oct 01, 2017",14.72,17.08,13.45,16.36,"298,959","18,394,200"
"Sep 30, 2017",14.73,15.57,14.54,14.56,"69,376","18,409,000"
"Sep 29, 2017",15.41,15.42,14.08,14.73,"135,492","19,254,500"
"Sep 28, 2017",17.02,17.05,14.99,15.42,"125,586","21,268,800"
"Sep 27, 2017",15.03,17.19,14.70,16.91,"277,008","18,785,600"
"Sep 26, 2017",15.38,15.73,14.77,15.15,"143,434","19,222,600"
"Sep 25, 2017",15.53,16.09,14.24,15.34,"287,753","19,416,300"
"Sep 24, 2017",13.73,16.62,13.20,15.53,"686,526","17,157,200"
"Sep 23, 2017",13.00,14.00,12.79,13.73,"124,841","16,252,500"
"Sep 22, 2017",13.15,13.91,12.73,13.16,"55,768","16,441,500"
"Sep 21, 2017",15.15,15.15,12.78,13.17,"170,853","18,936,100"
"Sep 20, 2017",15.58,16.12,14.75,15.22,"160,192","19,478,000"
"Sep 19, 2017",17.00,17.00,15.31,15.60,"149,142","21,252,800"
"Sep 18, 2017",16.56,17.95,15.42,16.96,"219,636","20,703,500"
"Sep 17, 2017",15.52,16.81,14.72,16.59,"74,804","19,409,800"
"Sep 16, 2017",17.03,17.03,14.92,15.54,"106,754","21,290,500"
"Sep 15, 2017",13.53,17.18,12.28,17.07,"229,961","16,919,700"
"Sep 14, 2017",17.15,17.49,13.43,13.43,"208,388","21,435,700"
"Sep 13, 2017",18.93,18.93,15.94,17.12,"311,553","23,673,000"
"Sep 12, 2017",19.24,20.09,17.44,19.09,"398,928","24,063,900"
"Sep 11, 2017",21.48,21.48,18.04,18.98,"335,702","26,868,700"
"Sep 10, 2017",23.04,27.28,19.26,21.24,"1,448,320","28,821,700"
"Sep 09, 2017",19.17,25.34,17.42,22.97,"1,345,530","23,977,600"
"Sep 08, 2017",21.53,23.25,18.28,19.13,"305,855","26,935,100"
"Sep 07, 2017",22.34,23.16,20.41,21.53,"262,532","27,947,600"
"Sep 06, 2017",21.64,26.31,20.75,22.38,"473,273","27,076,900"
"Sep 05, 2017",20.87,23.62,18.91,21.53,"349,885","26,115,800"
"Sep 04, 2017",26.91,27.34,17.99,20.74,"716,231","33,673,500"
"Sep 03, 2017",27.70,29.36,24.99,26.90,"493,926","34,662,300"
"Sep 02, 2017",32.49,33.01,26.79,27.24,"633,861","40,658,600"
"Sep 01, 2017",35.67,35.90,31.35,32.45,"1,024,920","44,636,600"
"Aug 31, 2017",35.78,36.60,34.27,35.62,"452,411","44,776,600"
"Aug 30, 2017",34.89,38.40,34.61,35.84,"549,569","43,694,000"
"Aug 29, 2017",36.12,36.84,34.43,34.92,"489,247","45,236,000"
"Aug 28, 2017",35.56,36.20,34.11,36.07,"402,594","44,537,800"
"Aug 27, 2017",35.16,36.33,34.05,35.53,"372,296","44,033,500"
"Aug 26, 2017",35.31,37.01,33.54,34.93,"363,769","44,220,200"
"Aug 25, 2017",35.51,37.67,32.94,35.24,"845,188","44,468,400"
"Aug 24, 2017",35.60,37.29,34.84,35.39,"466,415","44,577,800"
"Aug 23, 2017",35.53,38.34,34.85,36.49,"443,443","44,506,600"
"Aug 22, 2017",34.75,37.23,31.91,35.61,"561,611","43,526,300"
"Aug 21, 2017",42.41,48.73,33.48,34.58,"2,145,180","53,121,100"
"Aug 20, 2017",34.73,43.36,32.52,42.53,"1,894,140","43,499,200"
"Aug 19, 2017",35.56,37.01,31.60,34.84,"582,704","44,542,600"
"Aug 18, 2017",34.17,39.43,31.88,35.03,"1,612,640","42,797,100"
"Aug 17, 2017",33.79,36.14,31.85,33.92,"739,864","42,325,000"
"Aug 16, 2017",31.27,37.92,30.37,33.62,"864,797","39,176,900"
"Aug 15, 2017",34.85,36.10,30.67,31.23,"763,238","43,659,400"
"Aug 14, 2017",36.80,38.09,32.76,34.65,"763,860","46,104,500"
"Aug 13, 2017",43.83,46.78,33.13,36.78,"1,431,600","54,913,000"
"Aug 12, 2017",34.64,47.85,32.80,43.37,"2,680,510","43,392,300"
"Aug 11, 2017",26.46,41.47,26.06,33.64,"3,202,390","33,143,700"
"Aug 10, 2017",28.84,29.21,26.46,26.46,"748,370","36,136,200"
"Aug 09, 2017",27.96,33.04,26.79,29.24,"1,128,830","35,034,100"
"Aug 08, 2017",27.86,28.34,25.22,27.97,"521,900","34,067,900"
"Aug 07, 2017",28.32,30.01,26.70,27.93,"456,117","34,625,700"
"Aug 06, 2017",29.42,29.76,27.60,28.38,"386,351","35,980,100"
"Aug 05, 2017",26.66,30.41,26.59,29.25,"558,040","32,606,100"
"Aug 04, 2017",26.80,28.27,26.47,26.63,"403,184","32,772,500"
"Aug 03, 2017",26.26,28.38,25.59,27.17,"320,060","32,107,700"
"Aug 02, 2017",26.15,29.96,24.75,26.23,"551,211","31,986,000"
"Aug 01, 2017",25.65,30.04,24.18,26.17,"305,623","31,374,200"
"Jul 31, 2017",26.01,26.47,24.69,25.28,"166,615","31,810,000"
"Jul 30, 2017",25.88,27.32,24.76,26.51,"116,912","31,649,900"
"Jul 29, 2017",25.28,26.29,24.13,25.87,"120,964","30,920,300"
"Jul 28, 2017",27.72,28.26,24.15,25.37,"214,957","33,899,000"
"Jul 27, 2017",27.48,28.43,26.25,27.64,"163,616","33,610,800"
"Jul 26, 2017",27.65,28.93,24.75,26.97,"323,792","33,814,100"
"Jul 25, 2017",33.69,33.89,25.92,27.29,"460,800","41,210,000"
"Jul 24, 2017",33.01,36.16,32.04,33.69,"551,830","40,370,800"
"Jul 23, 2017",36.59,37.54,32.41,32.89,"515,553","44,748,100"
"Jul 22, 2017",34.14,41.15,33.96,36.59,"909,922","41,751,100"
"Jul 21, 2017",35.87,38.40,33.27,34.14,"320,166","43,866,500"
"Jul 20, 2017",27.93,39.44,26.73,35.54,"1,116,080","34,174,900"
"Jul 19, 2017",25.08,35.93,23.53,28.23,"1,959,790","30,689,100"
"Jul 18, 2017",23.11,29.48,20.47,25.31,"550,981","28,272,600"
"Jul 17, 2017",17.46,22.79,17.46,22.69,"272,026","21,363,400"
"Jul 16, 2017",18.99,20.06,16.54,17.49,"213,544","23,236,900"
"Jul 15, 2017",23.20,23.24,18.69,19.05,"269,653","28,383,800"
"Jul 14, 2017",26.80,27.67,21.18,23.24,"424,550","32,787,700"
"Jul 13, 2017",30.83,31.24,25.64,26.82,"453,602","37,715,200"
"Jul 12, 2017",20.32,32.90,18.75,30.71,"1,538,890","24,856,500"
"Jul 11, 2017",23.53,26.49,18.33,20.73,"613,446","28,787,300"
"Jul 10, 2017",28.65,31.54,20.99,24.04,"678,731","35,055,400"
"Jul 09, 2017",27.54,30.14,26.83,28.29,"576,144","33,695,700"
"Jul 08, 2017",28.99,30.77,23.66,27.51,"860,141","35,465,600"
"Jul 07, 2017",36.08,36.88,25.44,29.39,"1,277,090","44,138,900"
"Jul 06, 2017",38.60,39.21,32.20,35.79,"1,538,390","47,227,600"
"Jul 05, 2017",39.39,41.59,37.64,39.03,"829,545","48,195,200"
"Jul 04, 2017",41.60,43.46,37.38,39.42,"1,917,540","50,895,200"
"Jul 03, 2017",43.17,46.92,41.41,41.69,"1,348,590","52,810,600"
"Jul 02, 2017",43.12,54.01,39.95,42.87,"3,610,660","52,749,500"
"Jul 01, 2017",34.19,68.93,33.29,45.26,"12,854,500","41,835,200"
"Jun 30, 2017",42.26,43.96,29.13,34.20,"4,824,820","51,703,800"
"Jun 29, 2017",53.26,53.26,38.82,42.89,"3,130,230","65,159,400"
"Jun 28, 2017",51.92,58.38,46.21,53.07,"4,397,750","63,517,500"
"Jun 27, 2017",59.82,62.31,36.29,53.05,"6,824,330","73,191,200"
"Jun 26, 2017",88.17,98.78,49.70,59.90,"9,639,820","107,875,000"
"Jun 25, 2017",103.21,168.49,72.49,86.55,"34,331,400","126,269,000"
"Jun 24, 2017",44.48,116.40,42.04,101.83,"17,322,100","54,422,400"
"Jun 23, 2017",35.05,48.58,17.67,45.63,"4,354,180",-
